LEMMA,TAG,PRECEDING,CONSTRUCTION,FOLLOWING,CONSTRUCTION_NAME,CONSTRUCTION_DETAILS,PERSONAL_NAME,ANIMACY (PSR),ANIMACY (PSE),ALIENABILITY,POSSESSIVE (?),,Word order,,,
maður,nkfe,Hann hafði margt röskra,manna,með sér,gen,na,,,,,,,,,,
ferð,nveþ,« Hvað er þess orðið í,ferð,þinni er þér fær nú hlátrar eða hvað segir þú tíðinda,pre-dat,í,,,,,,,,,,
ráð,nhee,Var það þá,ráðs,tekið að sent var vestur til Þórðar og voru þá upp gefnar sveitir fyrir norðan Öxnadalsheiði og svo öll hans föðurleifð,gen,s,,,,,,,,,,
eyjólfur,nkee-s,föður,Eyjólfs,,gen,s,+PN,,,,,,,,,
bjarni,nkee-s,Sagði Þórnýju dóttur hans gifta,Bjarna,í Gröf Þorsteinssyni goða landnámamanns « og er Þorleifur kom eigi til bjó eg skip af Noregi og fór eg út til Íslands og var eg þar tvo vetur,gen,na,+PN,,,,,,,,,
maður,nkfe,Hann var,manna,auðugastur í Vestfjörðum,gen,na,,,,,,,,,,
konungur,nkee,« Ekki mun eg fara á fund Haralds,konungs,héðan af,gen,s,,,,,,,,,,
land,nhee,Þeir spurðu til hers þess er þar fór yfir land og mæltu sín á til,lands,síns og ganga þar í fólkorustu með honum og reyna sig svo því að þeir höfðu ekki fyrr í bardögum verið,pre-gen,til,,,,,,,,,,
ferð,nvfe,Hrafn sagðist vera ungur og lítt til,ferða,fallinn,pre-gen,til,,,,,,,,,,
skip,nheþg,Kormákur réð og fóru á,skipinu,,pre-dat,á,,,,,,,,,,
fé,nhee,Ingjaldur lést engis girnast,fjár,hans en kallar honum vel fara,gen,r,,,,,,,,,,
konungur,nkee,En þó höfðu þeir áður gert njósn ofan í Orkadal og svo í Skaun og létu segja um ferð Ólafs,konungs,allt það er þeir vissu af,gen,s,,,,,,,,,,
bak,nheþ,Hann hafði á,baki,sér leðurflösku og í drykk,pre-dat,á,,,,,,,,,,
konungur,nkee,En þótt þú segir til mín og öx,konungs,sé langskeft þá mun hún þó eigi taka í skóginn til mín,pre-gen,til,,,,,,,,,,
vinur,nkee,Og nú sendir hann þá til Þorbergs höggvinkinna,vinar,síns með þeim erindum sem fyrr að hann gæfi enn ráð til að ná Skútu,pre-gen,til,,,,,,,,,,
mál,nhee,Þeir deildu og um hvalmál nokkur og færðu það til alþingis og var hvortveggi hinn mesti fulltingsmaður síns,máls,,pre-gen,til,,,,,,,,,,
konungur,nkee,Þú hefir sannar jarteignir,konungs,en hefir áður óvingast við hann,gen,s,,,,,,,,,,
konungur,nkee,fara nú báðir á fund,konungs,og stóðu fyrir borðinu,gen,s,,,,,,,,,,
morgunn,nkeþ,En að,morgni,er konungur vaknaði þá hugsaði hann hvað Emundur hafði talað um daginn,pre-dat,að,,,,,,,,,,
þorbjörn,nkee-s,Þorgils hét son,Þorbjarnar,loka,gen,ar,+PN,,,,,,,,,
maður,nkfe,Og jafnan sýndi Áskell það að hann var fám mönnum líkur sakar réttdæmis er hann hafði,manna,í millum og drengskapar við hvern mann,gen,na,,,,,,,,,,
konungur,nkeeg,Hljóp hann þá úr skóginum og rauf alla skjaldborgina og hjó til,konungsins,,pre-gen,til,,,,,,,,,,
bær,nkee,og gekk þar upp til,bæjar,þess,pre-gen,til,,,,,,,,,,
maður,nkeþ,tóku tali með sér og sagði honum skil á þessum,manni,og svo hvað þeir ætluðu að hafast að,pre-dat,á,,,,,,,,,,
orð,nhfe,Eiríkur kvað meira vert en,orða,einna,gen,a,,,,,,,,,,
konungur,nkee,En er Magnús konungur kom til Suðureyja með her sinn þá flýði Lögmaður undan herinum og var í eyjunum en að lyktum tóku menn Magnúss,konungs,hann með skipsögn sína þá er hann vildi flýja til Írlands,pre-gen,til,,,,,,,,,,
maður,nkfþ,Hún var skipuð öll af,mönnum,,pre-dat,af,,,,,,,,,,
maður,nkfe,allra,manna,mestur og sterkastur,gen,na,,,,,,,,,,
maður,nkfe,Þorleifur var nú settur til að gæta Órækju,manna,,pre-gen,til,,,,,,,,,,
hönd,nveþ,» « Eða hvar er hringur sá er hann hafði á,hendi,sér þá er hann var veginn,pre-dat,á,,,,,,,,,,
maður,nkfþ,Hann er þar um veturinn í Danmörku og fékk þar mikinn sóma af ríkum,mönnum,,pre-dat,af,,,,,,,,,,
maður,nkeþ,« Bolöx mun standa í höfði þér af hinum versta,manni,og steypa svo ofsa þínum og ójafnaði,pre-dat,af,,,,,,,,,,
hús,nheeg,á hrossunum og farið þegar er þér komið að túngarðinum heim til,hússins,leynilega,pre-gen,til,,,,,,,,,,
maður,nkfe,... ... og níu gamla ... að ... seld ... við ... ... mót ... og tíðindalaust vetur þenna ...,manna,... var hans lið allharðsnúið og vel vopnað,gen,na,,,,,,,,,,
maður,nkfe,Hann sagði þeim hvað í hafði gerst og hvar komið var mál,manna,,gen,na,,,,,,,,,,
bær,nkeþg,Þeir spurðu hvort konungur var í,bænum,,pre-dat,í,,,,,,,,,,
hús,nheþg,Lögðu þeir undir hurðina frá,húsinu,og þar ofan á klæði og lá hann þar um nóttina,pre-dat,frá,,,,,,,,,,
maður,nkfe,Er það ætlan mín að fyrir yður muni setið og mun vera fleira,manna,en eg hefi séð,gen,na,,,,,,,,,,
fé,nheþ,land upp en lið allt flýði á skóga og eyddi byggðina að,fé,öllu,pre-dat,að,,,,,,,,,,
konungur,nkee,Móðir hans hét Dageiður dóttir Dags,konungs,hins ríka er Döglingar eru frá komnir,gen,s,,,,,,,,,,
mál,nhfe,En fyrir þann skuld að þau höfðu sjálf orkast hugar á að bæta sína meinbugi án allri þröngvan og hatri af kirkjunnar formönnum þá var þeim létt um allar álögur svo sem fremst mátti vera en beðin með blíðu að þau skipuðu nú sem skynsamlegast fyrir sinni sál og lifðu hreinlega þaðan í frá að fenginni lausn allra sinna,mála,,gen,a,,,,,,,,,,
vor,nheþ,Ögmundur var með Þórði þau misseri en að,vori,fór hann í burt og tók enn Brandur við honum og skyldi Ögmundur eiga þá helming í búi og hafði hann oft komur í Laufás og varð þeim það að sundurþykki hjónum,pre-dat,að,,,,,,,,,,
þing,nhee,En við það að það entist ekki er þeir höfðu sæst á þá bjó Ögmundur mál á hendur þeim er eftir lifðu og fóru mál til,þings,,pre-gen,til,,,,,,,,,,
hönd,nveþ,Hann var í pansara digrum og stálhúfa norræn á höfði og spjót mikið í,hendi,og lagði því bæði hart og tíðum,pre-dat,í,,,,,,,,,,
hönd,nveþ,Hver sá maður er þar þurfti lögskil af,hendi,að leysa að dómi skyldi áður eið vinna að þeim baugi og nefna sér votta tvo eða fleiri,pre-dat,af,,,,,,,,,,
fé,nhee,Þá bauð Bárður förunautum sínum að vinna til,fjár,og ganga að birninum,pre-gen,til,,,,,,,,,,
höfuð,nheþ,Þá er hann vaknaði fann hann að þreifað var undir ábreiðuna að,höfði,honum,pre-dat,að,,,,,,,,,,
snorri,nkee-s,Hann skyldi hafa bú í Stafaholti en Sturla skyldi hafa Reykjaholt og fé,Snorra,í friði fyrir Órækju,gen,a,+PN,,,,,,,,,
bær,nkeþ-s,Þau fóru þá heimboðum um veturinn og er þau voru að heimboði niðri í,Bæ,varð fóstra Signýjar bráðdauð og er jörðuð í Þórdísarholti,pre-dat,í,+PN,,,,,,,,,
ferð,nvfþ,Annan tíma fann Helgi Björn er hann fór af Desjarmýri og bað hann með mjúkum orðum af láta sínum,ferðum,á Desjarmýri,pre-dat,af,,,,,,,,,,
tíðindi,nhfe,Það varð hans tiltæki að hann hljóp á fjörðinn og er hann kom til fjarðarbotnsins og hitti menn þá spurði hann,tíðinda,,pre-gen,til,,,,,,,,,,
konungur,nkee,Hann segir og frá því að Ólafur Noregskonungur hafði þangað senda menn og þar voru þá sendimenn,konungs,og hann hafði þeim því heitið að fylgja þeim á fund Svíakonungs,gen,s,,,,,,,,,,
sök,nvfþ,» Þorkell kvaðst eigi vita við hver brögð er þeir voru í komnir en kvaðst eigi nenna að leggja hann við velli að óreyndum,sökum,,pre-dat,að,,,,,,,,,,
ferð,nvee,snarast þegar til,ferðar,við tíunda mann,pre-gen,til,,,,,,,,,,
ráð,nheþ,En er þau tíðindi komu norður til Þrándheims að Haraldur konungur var af lífi tekinn þá var þar til konungs tekinn Sigurður sonur Haralds konungs og hurfu að því,ráði,Óttar birtingur og Pétur Sauða-Úlfsson og þeir bræður Guttormur af Reini Ásólfsson og Óttar balli og fjöldi annarra höfðingja,pre-dat,að,,,,,,,,,,
snorri,nkee-s,Þórður kvaddi nokkura menn til þingreiðar og ætlaði eigi til öndverðs þings en sendi Sturlu son sinn til,Snorra,með goðorð sín,pre-gen,til,+PN,,,,,,,,,
konungur,nkee,móður Ólafs,konungs,hins helga,gen,s,,,,,,,,,,
hönd,nveþ,» Gunnar hljóp upp við þessa tíðindasögu og þrífur boga í,hönd,sér,pre-dat,í,,,,,,,,,,
mál,nhfþ,Muntu eigi þurfa neinu til að kosta en hafa þó af,málum,það er þú vilt,pre-dat,af,,,,,,,,,,
þing,nhee,Var hann jafnan heima að Sauðafelli og leið svo framan til,þings,,pre-gen,til,,,,,,,,,,
þing,nhee,Riðu þeir Einar og Höskuldur til,þings,með þessi mál,pre-gen,til,,,,,,,,,,
skip,nheþ,Hún hafði á,skipi,tuttugu karla frjálsa,pre-dat,á,,,,,,,,,,
land,nheþ,En er hann kom vestur í Mön þá höfðu þeir áður spurt hvern hernað hann hafði gert þar í,landi,,pre-dat,í,,,,,,,,,,
móðir,nvee,fer heim til,móður,sinnar,pre-gen,til,,,,,,,,,,
konungur,nkee,fór síðan á fund Magnúss,konungs,og fann hann á Hrafnsnesi,gen,s,,,,,,,,,,
hestur,nkeþ,Berserkurinn sat á,hesti,og hafði hjálm á höfði og ekki spennt kinnbjörgunum,pre-dat,á,,,,,,,,,,
mál,nhee,» Síðan gekk Kálfur á brott en Kjartan til,máls,við konung og fagnar honum vel,pre-gen,til,,,,,,,,,,
hús,nheeg,Síðan leyndust þeir í brott og fóru til,hússins,og tóku líkið,pre-gen,til,,,,,,,,,,
hönd,nveþ,Gengur Skúta nú til og lítur á smíðina Arnórs og hefir hann ekki vopna í,hendi,,pre-dat,í,,,,,,,,,,
mál,nheþg,En með því að margir voru veitendur að,málinu,með Þorbirni þá gerði Gestur kost á að þessi ráð skyldu takast ef Þorbjörn héti honum því með handtaki að láta af ójöfnuði og rangindum,pre-dat,að,,,,,,,,,,
maður,nkee,« Mér þykir þú illt ráð hafa upp tekið að leggja sæmd sína í virðing við eins,manns,mál útlends og sé sá þó látinn nú,gen,s,,,,,,,,,,
bú,nhee,« skipt fjárhlut þínum og gef hann svo sem þú hyggur sálu þinni hjálpvænlegast því að þú munt eigi hálfum mánuði lengur lifa síðan þú kemur heim til,bús,þíns,pre-gen,til,,,,,,,,,,
konungur,nkee,Þá er hvorirtveggju höfðu um búist gekk Haraldur konungur með nokkura menn á skip Magnúss,konungs,,gen,s,,,,,,,,,,
vetur,nkeþ,» Nú semur þeim vel kaupstefnan og skal Þorgautur gæta sauðfjár að,vetri,,pre-dat,að,,,,,,,,,,
konungur,nkee,Hún bað þá fara á Oprostaði til Eiríks og hafa þaðan son Tryggva,konungs,og færa henni,pre-gen,til,,,,,,,,,,
maður,nkfe,Nú fóru þeir með honum á Upplönd og höfðu þrjá tigu,manna,með sér og koma í þann stað er þeir skulu finnast,gen,na,,,,,,,,,,
maður,nkfþ,Ketill flatnefur kom skipi sínu við Skotland og fékk góðar viðtökur af tignum,mönnum,,pre-dat,af,,,,,,,,,,
vinur,nkee,,vinar,Þorláks byskups hins helga,gen,ar,,,,,,,,,,
konungur,nkee,Haralds,konungs,gullskeggs úr Sogni,gen,s,,,,,,,,,,
maður,nkfe,Hann tók í hafi skipsögn þeirra,manna,er þá voru ófærir og lágu á skipsflaki og þá fann hann Vínland hið góða og kom um sumarið til Grænlands og hafði þannug með sér prest og kennimenn og fór til vistar í Brattahlíð til Eiríks föður síns,gen,na,,,,,,,,,,
frændi,nkee,Honum bregður mjög við og segir Þorgrími leynilega frá skilnaði þeirra Þorvarðar,frænda,hans,gen,a,,,,,,,,,,
konungur,nkee,Eftir það fór Brandur til Haralds,konungs,Sigurðarsonar og var með honum og svo Hallur Ótryggsson,pre-gen,til,,,,,,,,,,
maður,nkfe,Þorvaldur Vatnsfirðingur var við þrjá tigu,manna,og gengu þeir allir,gen,na,,,,,,,,,,
maður,nkfe,« Það er mér sagt að þú ráðir,manna,best drauma og vil eg það reyna því að mig hefir margt dreymt undarlegt og er mér forvitni á að vita hversu þú ræður,gen,na,,,,,,,,,,
konungur,nkee,« Seinna mundi Ormurinn langi unninn hafa orðið ef eg hefði þar verið með öðrum köppum,konungs,,gen,s,,,,,,,,,,
skip,nheþg,Og þegar er sjá saga kemst við veðri þar að,skipinu,þá keypti Vémundur þá þegar viðinn þann er hann hafði áður falað,pre-dat,að,,,,,,,,,,
mál,nhee,Nú er þar til,máls,að taka er Flosi er,pre-gen,til,,,,,,,,,,
hestur,nkfeg,Þenna atburð sá Þorbjörn svo gerla að hann sá allan fótaburð,hestanna,og svo það að menninir stóðu í stigreipin,gen,DEF-nna,,,,,,,,,,
faðir,nkee,,föður,Einars þambarskelfis,gen,ur,,,,,,,,,,
faðir,nkee,» Finnbogi sagði til sín og,föður,síns,pre-gen,til,,,,,,,,,,
maður,nkfþ,Jarl gekk þá einn saman braut frá öðrum,mönnum,og bað engan mann með sér ganga og dvaldist um stund,pre-dat,frá,,,,,,,,,,
maður,nkfe,« Engi skal hana hér upp taka minna,manna,og missir þú bæði drengskapar míns og skikkjunnar,gen,na,,,,,,,,,,
maður,nkfe,En nú vil eg biðja að þú gefir mér annað augað en eg gef þér í móti hníf og belti og er hvorttveggja gersemi en koma þér síðan að liði ef svo ber til því að vera kann að einn tíma þurfir þú fulltings,manna,,gen,na,,,,,,,,,,
ferð,nveþ,fer síðan leið sína suður með landi og varð í þeirri,ferð,mart það,pre-dat,í,,,,,,,,,,
vetur,nkfe,En er Ísleifur biskup andaðist var liðið frá falli Ólafs konungs Tryggvasonar nær átta tigum,vetra,,gen,a,,,,,,,,,,
skip,nhee,Þórður spurði hví bændur mundu svo seinir til,skips,,pre-gen,til,,,,,,,,,,
bróðir,nkfe,Stökk sinn veg hvor þeirra,bræðra,,gen,a,,,,,,,,,,
vetur,nkfe,Hall son sinn níu,vetra,gamlan hafði hann með sér,gen,a,,,,,,,,,,
bak,nheþ,Í því bili hljóp maður að,baki,honum og fyrr en hann gæti unnið Þorgeiri nokkurn geig þá reiddi Þorgeir tveim höndum öxina Rimmugýgi og rak í höfuð þeim öxarhamarinn er að baki honum stóð svo að hausinn brotnaði í smán mola,pre-dat,að,,,,,,,,,,
lið,nhee,« Ekki vil eg berjast við konungs ríki og ofurefli,liðs,en fyrir jafnmörgum mönnum mun eg eigi flýja ef mér skal þess unna,gen,s,,,,,,,,,,
hönd,nvfe,« Því mun eg mæla framar þó að annar maður eigi hana þá mun eg þó ná ef eg vil þér til,handa,,pre-gen,til,,,,,,,,,,
ráð,nhfþ,« Vér munum nú og eigi ófrið bjóða að sinni þótt til þess sé ærin sök og viljum vér reyna enn framar áður en vér,ráðum,frá með öllu,pre-dat,að,,,,,,,,,,
maður,nkee,En er bóndi sá það þokaði hann um,manns,rúm,gen,s,,,,,,,,,,
faðir,nkee,,föður,Steindórs,gen,ur,,,,,,,,,,
fé,nhee,Þá gengu þeir Sveinn að durunum og nefndi hann sér votta og stefndi Þórhalli um það að hann hefði leynt fjórðungi,fjár,síns og gert eigi tíund af,gen,r,,,,,,,,,,
konungur,nkee,Sótti Stúfur síðan norður til Kaupangs á,konungs,fund og tók konungur vel við honum og með samþykki hirðmanna gerðist Stúfur handgenginn konungi og var með honum nokkura hríð,pre-gen,til,,,,,,,,,,
sveinn,nkee-s,þá Eiríkur góði fjórði sonur,Sveins,konungs enn átta vetur,gen,s,+PN,,,,,,,,,
skip,nhee,Fara þeir síðan út til,skips,og höfðu mörg skip og smá og er þeir kvöddust þá mælti Brodd-Helgi að Þorleifur skyldi laust láta féið,pre-gen,til,,,,,,,,,,
fótur,nkfþ,að hann hrökk af,fótum,upp svo að gnötraði í honum hver tönn,pre-dat,af,,,,,,,,,,
hönd,nvfþ,Hann var þá bundinn fast á,höndum,en fjötraður á fótum og fengnir til sex menn að geyma hans um nóttina en hann skyldi höggva að morgni en víkingar lágu allir á landi,pre-dat,á,,,,,,,,,,
fé,nhee,« Það er víkinga háttur að afla,fjár,með ránum eða svörfum en það er þjófa háttur að leyna eftir,gen,r,,,,,,,,,,
mál,nhfþ,En með tillögum skynsamra manna varð sú lykt á,málum,þessum að Þorbjörn skyldi sigla samsumars og koma aldrei til Íslands meðan þeir lifðu eftir er mál áttu eftir Illuga og Gretti,pre-dat,á,,,,,,,,,,
hlutur,nkeþ,Kom þá Álfheiður húsfreyja hans austan og margir frændur hans og vinir að finna hann því að hann var vinsælastur af öllum vígðum höfðingjum á Íslandi í þann tíma því að hann leiddi mest hjá sér allra þeirra hernað og óöld þá sem flestir vöfðust í en hélt,hlut,sínum óskertum fyrir öllum þeim,pre-dat,hjá,,,,,,,,,,
hestur,nkeeg,Þeir stóðu þá sínum megin,hestsins,hvor er þeir tóku að deila,gen,DEF-ins,,,,,,,,,,
mál,nhee,» Síðan tók Eiríkur til,máls,,pre-gen,til,,,,,,,,,,
konungur,nkee,En er Ísleifur biskup andaðist var liðið frá falli Ólafs,konungs,Tryggvasonar nær átta tigum vetra,gen,s,,,,,,,,,,
bjarnar,nkee-s,Nú kemur Barði síðla til Víðidals til,Bjarnar,og heilsar hann honum og bauð eigi löð,pre-gen,til,+PN,,,,,,,,,
land,nheþg,Það spurði Óttar konungur að Fróði var eigi í,landinu,,pre-dat,í,,,,,,,,,,
kostur,nkeþ,Það var síðar um haustið að Sturla hafði njósn af að Aron væri að Valshamri á,kosti,Vigfúss er þar bjó,pre-dat,á,,,,,,,,,,
konungur,nkee,dóttir Hrólfs Ingjaldssonar Fróðasonar,konungs,,gen,s,,,,,,,,,,
bú,nheþ,Snorri var suður á Bessastöðum um sumarið að,búi,sínu,pre-dat,að,,,,,,,,,,
þing,nhee,Þetta sumar reið Þorgils til,þings,,pre-gen,til,,,,,,,,,,
maður,nkfe,Þormóður kvaddi konunginn og tók konungur vel kveðju hans og spurði hvað,manna,hann væri eða hvers son hann væri,gen,na,,,,,,,,,,
dóttir,nvee,Þorkell tók þessu vel og skaut mjög til ráða,dóttur,sinnar,gen,ur,,,,,,,,,,
þórdísur,nvee-s,dóttur Barkar hins digra og,Þórdísar,Súrsdóttur,gen,ar,+PN,,,,,,,,,
konungur,nkee,» Halli gerðist hirðmaður,konungs,og bað sér orlofs til Íslands,gen,s,,,,,,,,,,
þorkell,nkee-s,» Jökull leggur spjóti til,Þorkels,og stefnir á hann miðjan,pre-gen,til,+PN,,,,,,,,,
skip,nheþ,Jón lindiás var stýrimaður á,skipi,því,pre-dat,á,,,,,,,,,,
konungur,nkee,Og fór Gellir það sumar utan og á fund Ólafs konungs og hitti hann það haust í Vík austur þá er hann var kominn af Gautlandi ofan svo sem eg vænti að enn skal sagt verða síðar í sögu Ólafs,konungs,,gen,s,,,,,,,,,,
ferð,nvee,eg mun,ferðar,minnar,gen,ar,,,,,,,,,,
maður,nkfe,Björn reið um sumarið á Hítarnes með sex tigu,manna,og stefndi Þórði um vísuna sem hann kallaði lög til standa,gen,na,,,,,,,,,,
konungur,nkee,Gerðist Hárekur þá lendur maður Ólafs,konungs,,gen,s,,,,,,,,,,
hönd,nveþ,Kunnum vér nú eigi annað segja en til mannjafnaðar voru menn lagðir er fallnir voru og var Snorri tekinn til gerðar af,hendi,Barða og Guðmundur Eyjólfsson,pre-dat,af,,,,,,,,,,
hús,nhfþ,Grindarhlið var opið á garðinum og svo dyr á,húsum,,pre-dat,á,,,,,,,,,,
maður,nkfþ,Það er vel er vér finnumst hér og látum nú sverfa til stáls með oss og er eigi víst að færrum,mönnum,týni til en nú því að skammt mun að bíða,pre-dat,að,,,,,,,,,,
hönd,nveþ,Hann hjó með handöxi til Sveins og veitti honum sár mikið á,hendi,,pre-dat,á,,,,,,,,,,
bú,nheþ,Skyldi Eyjólfur eigi vera að,búi,sínu og eigi nær en á Grenjaðarstöðum með Finnbirni en Hrani í Flatey,pre-dat,að,,,,,,,,,,
bær,nkeþ,Eyvindur var heima með föður sínum en Sámur var kvongaður og bjó í norðanverðum dalnum á þeim,bæ,er heitir á Leikskálum og átti hann margt fé,pre-dat,á,,,,,,,,,,
faðir,nkee,,föður,Lofts,gen,ur,,,,,,,,,,
bróðir,nkfe,Skal fyrst rannsaka hirslur okkrar,bræðra,en eftir það annarra manna og ef eigi finnst heima hér það er stolið er þá munum vér fara á aðra bæi að rannsaka menn,gen,a,,,,,,,,,,
sumar,nhee,var hin mesta landsauðn í því að eigi skyldi vera kaupfriður milli landa og að lyktum settu þeir grið milli sín til annars,sumars,,pre-gen,til,,,,,,,,,,
fé,nheþ,» Þórólfur lést eigi mundu sitja að,fé,sínu,pre-dat,að,,,,,,,,,,
maður,nkfe,Var þá búið um lík og færð til kirkju en bundin sár þeirra,manna,er særðir voru,pre-gen,til,,,,,,,,,,
fé,nhee,« Síðan svo hefur til snúist þá geri eg mér það ekki til,fjár,,pre-gen,til,,,,,,,,,,
skip,nhee,fengu sér einn ferjustút og réðust til þess,skips,sjö menn aðrir með þeim,pre-gen,til,,,,,,,,,,
snorri,nkeþ-s,« að við höfum upphaf að sættargerð okkarri og vináttu að við heimtum Krákunesskóg að,Snorra,goða því að mér þykir það verst er hann skal sitja yfir hlut okkrum en hann vill nú eigi lausan láta skóginn fyrir mér og kallar að eg hafi gefið honum en það er lygð,pre-dat,að,+PN,,,,,,,,,
maður,nkfe,» Nú fer konungur á fund Egils og sér hann vera mjög máttfarinn og er eitt allra,manna,orð að eigi hefði séð hraustara mann,gen,na,,,,,,,,,,
bóndi,nkee,Hann átti vel fé og var í góðra,bónda,virðingu,gen,a,,,,,,,,,,
kveld,nheþ,En að,kveldi,komu þeir heim,pre-dat,að,,,,,,,,,,
bak,nheþ,Þar stíga þeir af,baki,,pre-dat,af,,,,,,,,,,
maður,nkfe,« að Knútur konungur hefir spurn mikla af þér og svo um það að þú hefir lengi fylgt Ólafi digra en verið óvinur mikill Knúts konungs og þykir honum það illa því að hann vill vera vinur þinn sem allra annarra dugandi,manna,þegar er þú vilt af hverfa að vera hans óvinur,gen,na,,,,,,,,,,
maður,nkfe,Hann fær úr þinghá sinni sjö tigu,manna,,gen,na,,,,,,,,,,
kona,nvee,Klængur Narfason og Grímur eyrarleggur bróðir Halldóru,konu,Glúms,gen,u,,,,,,,,,,
fótur,nkfþ,Hún hafði kálfskinnsskó loðna á,fótum,og í þvengi langa og sterklega,pre-dat,á,,,,,,,,,,
þórdísur,nvee-s,Hann fer til nausts,Þórdísar,og leggst þá niður og felst því að hann ætlaði að Böðvar mundi róa á sjá um daginn sem hann var vanur,pre-gen,til,+PN,,,,,,,,,
hestur,nkfþ,Hún segir og kvað Björn eigi mundu það gert hafa að eiga hlut í því að,hestum,hans væri annan veg gefið en öðrum hrossum « en þú hygg að,pre-dat,í,,,,,,,,,,
þorbjörn,nkee-s,Refur stefnir heim á bæ,Þorbjarnar,og er hann kemur fyrir dyr sér hann ekki úti manna,gen,ar,+PN,,,,,,,,,
maður,nkfe,Styrkár hét ferðinni og fór með þrjá tigu,manna,,gen,na,,,,,,,,,,
land,nhee,Þorkell hafði fylgt Haraldi konungi til Noregs þá fyrst er hann hafði komið til,lands,,pre-gen,til,,,,,,,,,,
maður,nkfe,» Kári Sölmundarson sótti Kol Þorsteinsson og Gunnar Lambason og Grana Gunnarsson og var það mál,manna,að honum mæltist furðulega vel,gen,na,,,,,,,,,,
kona,nvee,» Þorsteinn kveðst vilja hafa umræði,konu,sinnar en hún bað hann ráða og nú játar hann þessu,gen,u,,,,,,,,,,
leið,nvee,« að þetta skal til,leiðar,komast,pre-gen,til,,,,,,,,,,
konungur,nkee,útlagi Eiríks,konungs,,gen,s,,,,,,,,,,
maður,nkfe,Var Hrafn þá móður en margt,manna,þrotið,gen,na,,,,,,,,,,
faðir,nkee,,föður,Þórhadds skálar,gen,ur,,,,,,,,,,
móðir,nvee,Þeir segja honum allt tal þeirra mæðgina og það með að þeir mega eigi bera lengur harm sinn og frýju,móður,sinnar,gen,ur,,,,,,,,,,
skip,nheeg,Síðan kastar hann sér til sunds og leggst út til,skipsins,og varð hann að brjóta ísinn og hrinda frá sér ýmsa vega,pre-gen,til,,,,,,,,,,
maður,nkfe,« Það hefi eg ætlað að vera með föður mínum og mörgum mun kynlegt þykja heimboð þetta sakir orðróms,manna,,gen,na,,,,,,,,,,
land,nheþ,Svo bar til ferð þeirra að þeir komu aftan dags til Atlaeyjar og lögðu þar að,landi,en þar var í eyjunni skammt upp bú mikið er átti Eiríkur konungur,pre-dat,að,,,,,,,,,,
þing,nheþ,Riðu menn heim af,þingi,,pre-dat,af,,,,,,,,,,
maður,nkfe,Það var margra,manna,álit að faðir hans mundi arf eiga að taka eftir hann en bræður Guðmundar,gen,na,,,,,,,,,,
maður,nkfe,Guðmundur Brandsson og Örnólfur Þorgilsson frá Kvennabrekku og höfðu tvö hundruð,manna,til meðalgöngu,gen,na,,,,,,,,,,
maður,nkfe,og hirð sú er verið hafði fyrr með Magnúsi konungi og fjöldi annarra,manna,,gen,na,,,,,,,,,,
maður,nkfe,Var flestra,manna,ætlan að vera mundi skip þeirra Kolbeins manna,gen,na,,,,,,,,,,
skip,nhee,Gunnhildur leiddi Hrút til,skips,og mælti,pre-gen,til,,,,,,,,,,
maður,nkfþ,» Jarl gekk þá enn einn frá öðrum,mönnum,,pre-dat,frá,,,,,,,,,,
kostur,nkeþ,veitum þá viðurtöku eftir efnum en að öðrum,kosti,látum skipin gæta vor og eiga þá riddarar ekki vald yfir oss,pre-dat,að,,,,,,,,,,
maður,nkfe,Margir hans menn löttu hann þess en eigi að síður fór hann með mikla sveit,manna,og kom til þess bæjar er drottning réð fyrir,gen,na,,,,,,,,,,
orð,nhfe,Sigríður tók til,orða,og mælti,pre-gen,til,,,,,,,,,,
bak,nheþ,Hafði Þorgils stigið af,baki,erinda sinna en þeir Bergur höfðu fyrir riðið og fundust eigi síðan,pre-dat,af,,,,,,,,,,
þing,nheþ,Var þá kært fyrir konungi það mál er fyrr var uppi haft á,þingi,,pre-dat,á,,,,,,,,,,
frændi,nkee,Og er Skeggi frétti útkomu,frænda,síns reið hann til skips og fagnar vel Ásbirni frænda sínum og býður honum heim með sér við svo marga menn sem hann vildi,gen,a,,,,,,,,,,
maður,nkfe,eigi minna en níu tigu,manna,en áður hafði vandi á verið að sýslumenn höfðu haft þrjá tigu manna en stundum færra,gen,na,,,,,,,,,,
hönd,nveþ,Gunnar greiddi af,hendi,féið vel og reið heim síðan,pre-dat,af,,,,,,,,,,
maður,nkfe,Var það bæði að honum þurru lausafé enda þótti honum mjög vaxa þústur milli,manna,í héraðinu en honum var kært við hvoratveggju,gen,na,,,,,,,,,,
hús,nhfþ,Nú gerðist brátt svæla mikil í,húsum,og reykur tók að vaxa,pre-dat,í,,,,,,,,,,
konungur,nkee,Álfur sonur Yngvars,konungs,og Ingjaldur sonur Önundar konungs,gen,s,,,,,,,,,,
hönd,nveþ,Mæltu menn að féið væri skörulega af,hendi,greitt og það mundi mikið kosta,pre-dat,af,,,,,,,,,,
skip,nhfþ,konungur var genginn af,skipum,,pre-dat,af,,,,,,,,,,
ráð,nheþ,Þó var mikill mállaki á,ráði,hennar,pre-dat,á,,,,,,,,,,
skip,nhfe,Nú sækir liðið fast eftir þeim en þeir Þorgils komast til,skipa,og láta þegar frá landi,pre-gen,til,,,,,,,,,,
